name,date,unit,season,country
CY092438.1,2009-11-24,Australia,2009-2010,Australia
CY092638.1,2010-01-27,Australia,2009-2010,Australia
CY092446.1,2010-04-26,Australia,2009-2010,Australia
CY092646.1,2010-07-03,Australia,2009-2010,Australia
CY092454.1,2010-07-13,Australia,2009-2010,Australia
CY092502.1,2010-07-21,Australia,2009-2010,Australia
CY093133.1,2010-07-23,Australia,2009-2010,Australia
CY092654.1,2010-07-30,Australia,2009-2010,Australia
CY093141.1,2010-08-03,Australia,2009-2010,Australia
CY098545.1,2010-08-10,Australia,2009-2010,Australia
CY092470.1,2010-08-10,Australia,2009-2010,Australia
CY092478.1,2010-08-10,Australia,2009-2010,Australia
CY092462.1,2010-08-12,Australia,2009-2010,Australia
CY092734.1,2010-08-12,Australia,2009-2010,Australia
CY096202.1,2010-08-17,Australia,2009-2010,Australia
CY096210.1,2010-08-17,Australia,2009-2010,Australia
KX651976.1,2010-08-19,Australia,2009-2010,Australia
CY096218.1,2010-08-23,Australia,2009-2010,Australia
CY096226.1,2010-08-23,Australia,2009-2010,Australia
CY096234.1,2010-08-23,Australia,2009-2010,Australia
CY092824.1,2010-08-24,Australia,2009-2010,Australia
CY096242.1,2010-08-25,Australia,2009-2010,Australia
CY096250.1,2010-08-26,Australia,2009-2010,Australia
CY092662.1,2010-08-26,Australia,2009-2010,Australia
CY092510.1,2010-08-27,Australia,2009-2010,Australia
CY096258.1,2010-08-30,Australia,2009-2010,Australia
CY092518.1,2010-08-30,Australia,2009-2010,Australia
CY096266.1,2010-08-31,Australia,2009-2010,Australia
CY096274.1,2010-08-31,Australia,2009-2010,Australia
CY092486.1,2010-08-31,Australia,2009-2010,Australia
CY092494.1,2010-08-31,Australia,2009-2010,Australia
CY096282.1,2010-09-01,Australia,2009-2010,Australia
CY096577.1,2010-09-01,Australia,2009-2010,Australia
KX651912.1,2010-09-08,Australia,2009-2010,Australia
JQ624640.1,2010-09-09,Australia,2009-2010,Australia
CY092534.1,2010-09-12,Australia,2009-2010,Australia
CY092678.1,2010-09-12,Australia,2009-2010,Australia
KX651913.1,2010-09-13,Australia,2009-2010,Australia
KX651914.1,2010-09-13,Australia,2009-2010,Australia
CY092526.1,2010-09-13,Australia,2009-2010,Australia
CY092566.1,2010-09-13,Australia,2009-2010,Australia
CY092840.1,2010-09-14,Australia,2009-2010,Australia
CY092686.1,2010-09-14,Australia,2009-2010,Australia
CY092401.1,2010-09-14,Australia,2009-2010,Australia
KX651915.1,2010-09-15,Australia,2009-2010,Australia
CY129854.1,2010-09-15,Australia,2009-2010,Australia
KX651907.1,2010-09-16,Australia,2009-2010,Australia
CY092694.1,2010-09-16,Australia,2009-2010,Australia
CY092409.1,2010-09-16,Australia,2009-2010,Australia
CY092574.1,2010-09-17,Australia,2009-2010,Australia
KX651916.1,2010-09-18,Australia,2009-2010,Australia
CY092832.1,2010-09-19,Australia,2009-2010,Australia
CY092430.1,2010-09-19,Australia,2009-2010,Australia
CY092550.1,2010-09-20,Australia,2009-2010,Australia
CY092702.1,2010-09-20,Australia,2009-2010,Australia
KX651917.1,2010-09-21,Australia,2009-2010,Australia
KX651920.1,2010-09-21,Australia,2009-2010,Australia
CY092542.1,2010-09-21,Australia,2009-2010,Australia
CY092558.1,2010-09-22,Australia,2009-2010,Australia
CY092710.1,2010-09-23,Australia,2009-2010,Australia
KX651918.1,2010-09-24,Australia,2009-2010,Australia
CY096569.1,2010-09-24,Australia,2009-2010,Australia
CY092742.1,2010-09-24,Australia,2009-2010,Australia
