name,date,unit,season,country
KM366535.1,2014-01-14,Finland,2013-2014,Finland
KM437714.1,2014-01-22,Finland,2013-2014,Finland
KM437730.1,2014-01-24,Finland,2013-2014,Finland
KM437738.1,2014-01-27,Finland,2013-2014,Finland
KM219127.1,2014-01-27,Finland,2013-2014,Finland
KM219135.1,2014-01-27,Finland,2013-2014,Finland
KM219143.1,2014-01-27,Finland,2013-2014,Finland
KM219151.1,2014-01-27,Finland,2013-2014,Finland
KM219159.1,2014-01-27,Finland,2013-2014,Finland
KM219167.1,2014-01-27,Finland,2013-2014,Finland
KM219175.1,2014-01-27,Finland,2013-2014,Finland
KM219183.1,2014-01-27,Finland,2013-2014,Finland
KM437746.1,2014-01-28,Finland,2013-2014,Finland
KM219191.1,2014-02-02,Finland,2013-2014,Finland
KM219199.1,2014-02-02,Finland,2013-2014,Finland
KM366583.1,2014-02-04,Finland,2013-2014,Finland
KM366591.1,2014-02-04,Finland,2013-2014,Finland
KM366599.1,2014-02-04,Finland,2013-2014,Finland
KM437754.1,2014-02-05,Finland,2013-2014,Finland
KM219207.1,2014-02-05,Finland,2013-2014,Finland
KM219215.1,2014-02-05,Finland,2013-2014,Finland
KM437762.1,2014-02-06,Finland,2013-2014,Finland
KM366607.1,2014-02-06,Finland,2013-2014,Finland
KM366615.1,2014-02-06,Finland,2013-2014,Finland
KM366639.1,2014-02-06,Finland,2013-2014,Finland
KM366623.1,2014-02-07,Finland,2013-2014,Finland
KM366631.1,2014-02-07,Finland,2013-2014,Finland
KM437802.1,2014-02-10,Finland,2013-2014,Finland
KM437810.1,2014-02-10,Finland,2013-2014,Finland
KM219223.1,2014-02-10,Finland,2013-2014,Finland
KM219231.1,2014-02-10,Finland,2013-2014,Finland
KM437834.1,2014-02-11,Finland,2013-2014,Finland
KM219239.1,2014-02-11,Finland,2013-2014,Finland
KM219247.1,2014-02-11,Finland,2013-2014,Finland
KM366647.1,2014-02-13,Finland,2013-2014,Finland
KM366655.1,2014-02-13,Finland,2013-2014,Finland
KM437850.1,2014-02-14,Finland,2013-2014,Finland
KM366663.1,2014-02-17,Finland,2013-2014,Finland
KM366671.1,2014-02-17,Finland,2013-2014,Finland
KM366679.1,2014-02-17,Finland,2013-2014,Finland
KM366687.1,2014-02-17,Finland,2013-2014,Finland
KM366695.1,2014-02-18,Finland,2013-2014,Finland
KM366703.1,2014-02-18,Finland,2013-2014,Finland
KM366711.1,2014-02-18,Finland,2013-2014,Finland
KM366719.1,2014-02-18,Finland,2013-2014,Finland
KM219255.1,2014-02-18,Finland,2013-2014,Finland
KM219263.1,2014-02-18,Finland,2013-2014,Finland
KM219271.1,2014-02-18,Finland,2013-2014,Finland
KM219279.1,2014-02-18,Finland,2013-2014,Finland
KM437634.1,2014-02-19,Finland,2013-2014,Finland
KM366727.1,2014-02-19,Finland,2013-2014,Finland
KM366735.1,2014-02-19,Finland,2013-2014,Finland
KM366743.1,2014-02-19,Finland,2013-2014,Finland
KM366751.1,2014-02-21,Finland,2013-2014,Finland
KM366759.1,2014-02-21,Finland,2013-2014,Finland
KM366767.1,2014-02-21,Finland,2013-2014,Finland
KM366775.1,2014-02-21,Finland,2013-2014,Finland
KM437642.1,2014-02-24,Finland,2013-2014,Finland
KM437650.1,2014-02-24,Finland,2013-2014,Finland
KM366375.1,2014-02-28,Finland,2013-2014,Finland
KM366383.1,2014-02-28,Finland,2013-2014,Finland
KM366455.1,2014-03-08,Finland,2013-2014,Finland
KM366471.1,2014-03-13,Finland,2013-2014,Finland
