name,date,unit,season,country
KP144965.1,2013-10-15,China,2013-2014,China
MG982588.1,2013-11-24,China,2013-2014,China
MG982589.1,2013-11-24,China,2013-2014,China
KJ484582.1,2013-12-13,China,2013-2014,China
KM006384.1,2013-12-13,China,2013-2014,China
KU710466.1,2013-12-23,China,2013-2014,China
KM006377.1,2013-12-23,China,2013-2014,China
KM006378.1,2013-12-23,China,2013-2014,China
KJ484575.1,2013-12-24,China,2013-2014,China
KJ484576.1,2013-12-25,China,2013-2014,China
KU710469.1,2013-12-27,China,2013-2014,China
KM006382.1,2013-12-27,China,2013-2014,China
KM006383.1,2013-12-27,China,2013-2014,China
KM006397.1,2013-12-29,China,2013-2014,China
KU710467.1,2013-12-30,China,2013-2014,China
KU710468.1,2013-12-30,China,2013-2014,China
KP144974.1,2013-12-30,China,2013-2014,China
KM006398.1,2013-12-30,China,2013-2014,China
KY888615.1,2013-12-31,China,2013-2014,China
KY888618.1,2013-12-31,China,2013-2014,China
KY888619.1,2013-12-31,China,2013-2014,China
KY888621.1,2013-12-31,China,2013-2014,China
KY888626.1,2013-12-31,China,2013-2014,China
KY888629.1,2013-12-31,China,2013-2014,China
KY888633.1,2013-12-31,China,2013-2014,China
KY888634.1,2013-12-31,China,2013-2014,China
KY888635.1,2013-12-31,China,2013-2014,China
KJ484578.1,2014-01-02,China,2013-2014,China
KJ484579.1,2014-01-02,China,2013-2014,China
KJ484580.1,2014-01-02,China,2013-2014,China
KJ484581.1,2014-01-02,China,2013-2014,China
KJ484583.1,2014-01-03,China,2013-2014,China
KM006381.1,2014-01-03,China,2013-2014,China
KJ946415.1,2014-01-03,China,2013-2014,China
KM006395.1,2014-01-06,China,2013-2014,China
KM006399.1,2014-01-06,China,2013-2014,China
KM006405.1,2014-01-06,China,2013-2014,China
KJ484584.1,2014-01-07,China,2013-2014,China
KM006406.1,2014-01-07,China,2013-2014,China
KM006407.1,2014-01-07,China,2013-2014,China
KM006408.1,2014-01-07,China,2013-2014,China
KM006409.1,2014-01-07,China,2013-2014,China
KM006410.1,2014-01-07,China,2013-2014,China
KM006411.1,2014-01-07,China,2013-2014,China
KM006412.1,2014-01-07,China,2013-2014,China
KM607860.1,2014-01-10,China,2013-2014,China
KM006413.1,2014-01-10,China,2013-2014,China
KM006414.1,2014-01-10,China,2013-2014,China
KM006415.1,2014-01-10,China,2013-2014,China
KM006416.1,2014-01-10,China,2013-2014,China
KM006376.1,2014-01-13,China,2013-2014,China
KM006379.1,2014-01-13,China,2013-2014,China
KM006380.1,2014-01-13,China,2013-2014,China
KM006422.1,2014-01-13,China,2013-2014,China
KU710470.1,2014-01-14,China,2013-2014,China
KU710471.1,2014-01-14,China,2013-2014,China
KU710472.1,2014-01-14,China,2013-2014,China
KU710473.1,2014-01-14,China,2013-2014,China
KU710476.1,2014-01-14,China,2013-2014,China
KU710475.1,2014-01-17,China,2013-2014,China
KU710454.1,2014-01-20,China,2013-2014,China
KU710457.1,2014-01-20,China,2013-2014,China
KU710474.1,2014-01-20,China,2013-2014,China
KU710477.1,2014-01-20,China,2013-2014,China
KM006386.1,2014-01-20,China,2013-2014,China
KM006387.1,2014-01-20,China,2013-2014,China
KM006388.1,2014-01-20,China,2013-2014,China
KM006390.1,2014-01-20,China,2013-2014,China
KM006393.1,2014-01-21,China,2013-2014,China
KM006394.1,2014-01-21,China,2013-2014,China
KJ484577.1,2014-01-22,China,2013-2014,China
KM006385.1,2014-01-24,China,2013-2014,China
KM006417.1,2014-01-24,China,2013-2014,China
KM006418.1,2014-01-24,China,2013-2014,China
KM006419.1,2014-01-24,China,2013-2014,China
KM006420.1,2014-01-24,China,2013-2014,China
KM006421.1,2014-01-24,China,2013-2014,China
MG982594.1,2014-01-25,China,2013-2014,China
KM006389.1,2014-01-25,China,2013-2014,China
MG982596.1,2014-01-27,China,2013-2014,China
KM006391.1,2014-01-27,China,2013-2014,China
KM006396.1,2014-01-27,China,2013-2014,China
KM006400.1,2014-01-27,China,2013-2014,China
KM006401.1,2014-01-27,China,2013-2014,China
KM006402.1,2014-01-27,China,2013-2014,China
KM006403.1,2014-01-28,China,2013-2014,China
KM006404.1,2014-01-29,China,2013-2014,China
MG982595.1,2014-02-03,China,2013-2014,China
KM006392.1,2014-02-03,China,2013-2014,China
MG982591.1,2014-02-05,China,2013-2014,China
MG982597.1,2014-02-05,China,2013-2014,China
MG982592.1,2014-02-06,China,2013-2014,China
MG982593.1,2014-02-06,China,2013-2014,China
KU710458.1,2014-02-06,China,2013-2014,China
KU710478.1,2014-02-06,China,2013-2014,China
KU710455.1,2014-02-07,China,2013-2014,China
KU710456.1,2014-02-10,China,2013-2014,China
MT540606.1,2014-03-01,China,2013-2014,China
MT540607.1,2014-03-01,China,2013-2014,China
MT540604.1,2014-03-02,China,2013-2014,China
MT540605.1,2014-03-02,China,2013-2014,China
KU710459.1,2014-03-03,China,2013-2014,China
